Date,Open,High,Low,Close,Adj Close,Volume
2002-07-29,81.750000,84.099998,81.519997,83.849998,42.202194,113300
2002-08-05,84.040001,84.879997,83.220001,84.879997,42.720592,243100
2002-08-12,85.300003,87.900002,84.820000,85.059998,42.811188,409600
2002-08-19,85.050003,86.290001,84.709999,85.900002,43.233959,182600
2002-08-26,85.699997,87.129997,85.199997,87.080002,43.827835,557600
2002-09-02,87.080002,88.650002,87.000000,87.459999,44.019142,956800
2002-09-09,87.500000,88.940002,86.750000,88.779999,44.875736,796000
2002-09-16,89.199997,89.769997,88.360001,89.300003,45.138569,568400
2002-09-23,90.000000,90.940002,88.610001,90.040001,45.512604,1269500
2002-09-30,90.660004,90.900002,88.400002,89.510002,45.244701,807200
2002-10-07,89.900002,90.519997,88.059998,88.379997,44.843689,1886500
2002-10-14,88.500000,88.550003,84.279999,85.370003,43.316402,1133100
2002-10-21,85.500000,85.599998,84.080002,85.379997,43.321472,953400
2002-10-28,85.559998,86.930000,85.199997,85.980003,43.625877,892500
2002-11-04,85.480003,88.650002,84.910004,88.440002,45.076317,977400
2002-11-11,88.550003,89.150002,86.260002,87.110001,44.398388,897700
2002-11-18,87.019997,88.230003,85.860001,86.040001,43.853062,899400
2002-11-25,86.000000,87.019997,84.959999,85.550003,43.603313,1023300
2002-12-02,84.360001,87.089996,84.150002,86.169998,43.919289,1174600
2002-12-09,86.199997,87.650002,86.169998,86.529999,44.304234,1277300
2002-12-16,86.900002,87.559998,85.680000,87.379997,44.739464,773600
2002-12-23,87.360001,89.029999,86.250000,89.029999,45.584259,274500
2002-12-30,88.900002,89.330002,85.830002,86.480003,44.278648,887600
2003-01-06,86.169998,87.139999,85.019997,85.540001,44.017342,648200
2003-01-13,85.540001,87.239998,85.400002,86.949997,44.742901,437400
2003-01-20,86.879997,88.440002,86.800003,87.970001,45.267776,610600
2003-01-27,87.900002,88.209999,86.980003,88.059998,45.314060,1117500
2003-02-03,87.669998,88.699997,87.309998,88.419998,45.499321,703500
2003-02-10,88.120003,89.180000,87.430000,87.809998,45.344067,1726900
2003-02-17,87.559998,88.900002,87.339996,88.300003,45.597095,1012400
2003-02-24,88.879997,90.540001,88.620003,90.470001,46.717663,1769500
2003-03-03,90.000000,90.790001,89.910004,90.559998,46.764122,843000
2003-03-10,90.809998,91.360001,89.519997,89.959999,46.629528,2105900
2003-03-17,90.519997,90.519997,86.050003,86.050003,44.602825,2588100
2003-03-24,87.099998,88.080002,86.849998,87.750000,45.484032,1734700
2003-03-31,88.300003,88.930000,86.879997,87.050003,45.121166,1676300
2003-04-07,86.220001,87.860001,85.919998,87.260002,45.423126,1285800
2003-04-14,87.099998,88.400002,86.709999,87.989998,45.803116,539500
2003-04-21,87.480003,89.099998,87.260002,88.919998,46.287247,1219300
2003-04-28,89.089996,89.599998,88.269997,88.320000,45.974922,1014100
2003-05-05,88.309998,90.900002,88.199997,90.580002,47.402046,1192600
2003-05-12,91.139999,93.760002,90.730003,93.720001,49.045273,3533200
